Metric,Value
Accuracy,0.9810127019882202
Precision,0.9810127019882202
Recall,0.9810127019882202
F1 Score,0.9810127019882202
Mean AUROC,0.9972928166389465
AUROC_Class_F0,1.0
AUROC_Class_F1,0.9990047216415405
AUROC_Class_F2,0.9983004331588745
AUROC_Class_F3,0.9891588687896729
AUROC_Class_F4,1.0
