Metric,Value
Accuracy,0.9272152781486511
Precision,0.9422663450241089
Recall,0.9272152781486511
F1 Score,0.9298118948936462
Mean AUROC,0.9811762571334839
AUROC_Class_F0,1.0
AUROC_Class_F1,0.9448721408843994
AUROC_Class_F2,0.9640814661979675
AUROC_Class_F3,0.9980139136314392
AUROC_Class_F4,0.9989136457443237
